ModelPath,AUC_Custom,PerfectPointFound,AUC_PR,AUC_ROC,CompositeF1,FolderName,Task,Model,Architecture,LossFunction,TimeSeriesID,PlotHTMLPath
/kaggle/working/results/lstm_ae_model_ep200_ts8.h5,0.0195530726256983,False,0.1006863028460976,0.9520017327530628,0.0226843100189035,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,8,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts8.html
/kaggle/working/results/transformer_ae_model_ep200_ts11.pth,0.0,True,0.0428417935915012,0.5226478605225262,0.0625,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,11,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts11.html
/kaggle/working/results/transformer_ae_model_ep200_ts2.pth,0.0002324716384601,False,0.0062683126104463,0.5048456554020609,0.0,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,2,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts2.html
/kaggle/working/results/transformer_ae_model_ep200_ts20.pth,0.0113636363636363,False,0.0359214448439245,0.4893726515040437,0.1276595744680851,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,20,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts20.html
/kaggle/working/results/transformer_ae_model_ep200_ts21.pth,0.0013550135501355,False,0.0151815722905476,0.6646467661691542,0.0,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,21,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts21.html
/kaggle/working/results/transformer_ae_model_ep200_ts23.pth,0.0142857142857142,False,0.0287507062189113,0.5318215514345614,0.1138211382113821,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,23,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts23.html
/kaggle/working/results/transformer_ae_model_ep200_ts31.pth,0.0038167938931297,False,0.0347279519790491,0.488118727189781,0.0,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,31,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts31.html
/kaggle/working/results/transformer_ae_model_ep200_ts37.pth,0.0,True,0.184076015264703,0.7446894233884029,0.0332056194125159,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,37,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts37.html
/kaggle/working/results/transformer_ae_model_ep200_ts4.pth,0.0,True,0.1122104698874949,0.6185649471721566,0.2111801242236024,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,4,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts4.html
/kaggle/working/results/transformer_ae_model_ep200_ts43.pth,0.0,True,0.072397744241941,0.5058417239685657,0.0731070496083551,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,43,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts43.html
